ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,AmharicGloss
Maiyu-1_hand-1,,Maiyu,1_hand,θabá,θabá,θ a b á/a,,Bremer2016,,,^ θ a b á $,default,እጅ
Fadashi-1_hand-1,,Fadashi,1_hand,θabá,θabá,θ a b á/a,,Bremer2016,,,^ θ a b á $,default,እጅ
Undulu-1_hand-1,,Undulu,1_hand,θabá,θabá,θ a b á/a,,Bremer2016,,,^ θ a b á $,default,እጅ
BelejeGonfoye-1_hand-1,,BelejeGonfoye,1_hand,la:bá,la:bá,l aː b á/a,,Bremer2016,,,^ l a: b á $,default,እጅ
Maiyu-2_arm-1,,Maiyu,2_arm,bʊʷa,bʊʷa,b ʊʷ/ʊu̯ a,,Bremer2016,,,^ b ʊʷ a $,default,እጅ
Fadashi-2_arm-1,,Fadashi,2_arm,beː tuká,beː_tuká,b eː + t u k á/a,,Bremer2016,,,^ b eː _ t u k á $,default,እጅ
Undulu-2_arm-1,,Undulu,2_arm,biʲé,biʲé,b iʲ/i é/e,,Bremer2016,,,^ b iʲ é $,default,እጅ
BelejeGonfoye-2_arm-1,,BelejeGonfoye,2_arm,biʲé,biʲé,b iʲ/i é/e,,Bremer2016,,,^ b iʲ é $,default,እጅ
Maiyu-3_alive-1,,Maiyu,3_alive,siː θaːre,siː_θaːre,s iː + θ aː r e,,Bremer2016,,,^ s iː _ θ aː r e $,default,በሕይወት
Fadashi-3_alive-1,,Fadashi,3_alive,siː θaːre,siː_θaːre,s iː + θ aː r e,,Bremer2016,,,^ s iː _ θ aː r e $,default,በሕይወት
Undulu-3_alive-1,,Undulu,3_alive,hiːʔiya,hiːʔiya,h iː ʔ i y a,,Bremer2016,,,^ h iː ʔ i y a $,default,በሕይወት
BelejeGonfoye-3_alive-1,,BelejeGonfoye,3_alive,(mba) si lːaré,_si_lːaré,+ s i + lː a r é/e,,Bremer2016,,,^ _ s i _ lː a r é $,default,በሕይወት
Maiyu-4_spider-1,,Maiyu,4_spider,abarəbɛd,abarəbɛd,a b a r ə b ɛ d,,Bremer2016,,,^ a b a r ə b ɛ d $,default,ሸረሪት
Fadashi-4_spider-1,,Fadashi,4_spider,abarabɛt,abarabɛt,a b a r a b ɛ t,,Bremer2016,,,^ a b a r a b ɛ t $,default,ሸረሪት
Undulu-4_spider-1,,Undulu,4_spider,bəmːbɛt,bəmːbɛt,b ə mː b ɛ t,,Bremer2016,,,^ b ə mː b ɛ t $,default,ሸረሪት
BelejeGonfoye-4_spider-1,,BelejeGonfoye,4_spider,abarabɛti,abarabɛti,a b a r a b ɛ t i,,Bremer2016,,,^ a b a r a b ɛ t i $,default,ሸረሪት
Maiyu-5_caterpillar-1,,Maiyu,5_caterpillar,abɔbɔne,abɔbɔne,a b ɔ b ɔ n e,,Bremer2016,,,^ a b ɔ b ɔ n e $,default,ኣባጨጓሬ
Fadashi-5_caterpillar-1,,Fadashi,5_caterpillar,abɔbɔne,abɔbɔne,a b ɔ b ɔ n e,,Bremer2016,,,^ a b ɔ b ɔ n e $,default,ኣባጨጓሬ
Undulu-5_caterpillar-1,,Undulu,5_caterpillar,áːbɔbɔʔí,áːbɔbɔʔí,áː/aː b ɔ b ɔ ʔ í/i,,Bremer2016,,,^ áː b ɔ b ɔ ʔ í $,default,ኣባጨጓሬ
BelejeGonfoye-5_caterpillar-1,,BelejeGonfoye,5_caterpillar,ababɔʔi,ababɔʔi,a b a b ɔ ʔ i,,Bremer2016,,,^ a b a b ɔ ʔ i $,default,ኣባጨጓሬ
Maiyu-6_navel-1,,Maiyu,6_navel,abuldu,abuldu,a b u l d u,,Bremer2016,,,^ a b u l d u $,default,እንብርት
Fadashi-6_navel-1,,Fadashi,6_navel,korombo,korombo,k o r o m b o,,Bremer2016,,,^ k o r o m b o $,default,እንብርት
Undulu-6_navel-1,,Undulu,6_navel,ágórómbo,ágórómbo,á/a g ó/o r ó/o m b o,,Bremer2016,,,^ á g ó r ó m b o $,default,እንብርት
BelejeGonfoye-6_navel-1,,BelejeGonfoye,6_navel,abulːu,abulːu,a b u lː u,,Bremer2016,,,^ a b u lː u $,default,እንብርት
Maiyu-7_butterfly-1,,Maiyu,7_butterfly,abúrbúdu,abúrbúdu,a b ú/u r b ú/u d u,,Bremer2016,,,^ a b ú r b ú d u $,default,ቢራቢሮ
Fadashi-7_butterfly-1,,Fadashi,7_butterfly,aburbudu,aburbudu,a b u r b u d u,,Bremer2016,,,^ a b u r b u d u $,default,ቢራቢሮ
Undulu-7_butterfly-1,,Undulu,7_butterfly,abúrbúdu,abúrbúdu,a b ú/u r b ú/u d u,,Bremer2016,,,^ a b ú r b ú d u $,default,ቢራቢሮ
BelejeGonfoye-7_butterfly-1,,BelejeGonfoye,7_butterfly,aburbudu,aburbudu,a b u r b u d u,,Bremer2016,,,^ a b u r b u d u $,default,ቢራቢሮ
Maiyu-8_besorry-1,,Maiyu,8_besorry,ʃúnga -áŋ,ʃúnga_-áŋ,ʃ ú/u n g a + + á/a ŋ,,Bremer2016,,,^ ʃ ú n g a _ - á ŋ $,default,አዘነ
Fadashi-8_besorry-1,,Fadashi,8_besorry,hoseʲu,hoseʲu,h o s eʲ/ei̯ u,,Bremer2016,,,^ h o s eʲ u $,default,አዘነ
Undulu-8_besorry-1,,Undulu,8_besorry,adːagoʃ gáŋ,adːagoʃ_gáŋ,a dː a g o ʃ + g á/a ŋ,,Bremer2016,,,^ a dː a g o ʃ _ g á ŋ $,default,አዘነ
BelejeGonfoye-8_besorry-1,,BelejeGonfoye,8_besorry,nɛ dʒɛrɪbɪs,nɛ_dʒɛrɪbɪs,n ɛ + dʒ ɛ r ɪ b ɪ s,,Bremer2016,,,^ n ɛ _ dʒ ɛ r ɪ b ɪ s $,default,አዘነ
Maiyu-9_lung-1,,Maiyu,9_lung,afaɲfaras’,afaɲfaras’,a f a ɲ f a r a s ʔ,,Bremer2016,,,^ a f a ɲ f a r a s ’ $,default,ሳንባ
Fadashi-9_lung-1,,Fadashi,9_lung,anfanforos’,anfanforos’,a n f a n f o r o s ʔ,,Bremer2016,,,^ a n f a n f o r o s ’ $,default,ሳንባ
Undulu-9_lung-1,,Undulu,9_lung,áːwáwórés’,áːwáwórés’,áː/aː w á/a w ó/o r é/e s ʔ,,Bremer2016,,,^ áː w á w ó r és ’ $,default,ሳንባ
BelejeGonfoye-9_lung-1,,BelejeGonfoye,9_lung,awawardʒi,awawardʒi,a w a w a r dʒ i,,Bremer2016,,,^ a w a w a r dʒ i $,default,ሳንባ
Maiyu-10_fence-1,,Maiyu,10_fence,agoŋgór,agoŋgór,a g o ŋ g ó/o r,,Bremer2016,,,^ a g o ŋ g ó r $,default,አጥር
Fadashi-10_fence-1,,Fadashi,10_fence,abɪliʲa,abɪliʲa,a b ɪ l iʲ/i a,,Bremer2016,,,^ a b ɪ l iʲ a $,default,አጥር
Undulu-10_fence-1,,Undulu,10_fence,agoŋhór,agoŋhór,a g o ŋ h ó/o r,,Bremer2016,,,^ a g o ŋh ó r $,default,አጥር
BelejeGonfoye-10_fence-1,,BelejeGonfoye,10_fence,aːmaʲé,aːmaʲé,aː m aʲ/ai̯ é/e,,Bremer2016,,,^ aː m aʲ é $,default,አጥር
Maiyu-11_thief-1,,Maiyu,11_thief,agɔrθé,agɔrθé,a g ɔ r θ é/e,,Bremer2016,,,^ a g ɔ r θ é $,default,ሌባ
Fadashi-11_thief-1,,Fadashi,11_thief,agorá,agorá,a g o r á/a,,Bremer2016,,,^ a g o r á $,default,ሌባ
Undulu-11_thief-1,,Undulu,11_thief,agorθa,agorθa,a g o r θ a,,Bremer2016,,,^ a g o r θ a $,default,ሌባ
BelejeGonfoye-11_thief-1,,BelejeGonfoye,11_thief,agora,agora,a g o r a,,Bremer2016,,,^ a g o r a $,default,ሌባ
Maiyu-12_pumpkin-1,,Maiyu,12_pumpkin,aːgu,aːgu,aː g u,,Bremer2016,,,^ aː g u $,default,ዱባ
Fadashi-12_pumpkin-1,,Fadashi,12_pumpkin,agó,agó,a g ó/o,,Bremer2016,,,^ a g ó $,default,ዱባ
Undulu-12_pumpkin-1,,Undulu,12_pumpkin,agóʔ,agóʔ,a g ó/o ʔ,,Bremer2016,,,^ a g ó ʔ $,default,ዱባ
BelejeGonfoye-12_pumpkin-1,,BelejeGonfoye,12_pumpkin,aʔgó,aʔgó,a ʔ g ó/o,,Bremer2016,,,^ a ʔ g ó $,default,ዱባ
Maiyu-13_brother-1,,Maiyu,13_brother,agudi,agudi,a g u d i,,Bremer2016,,,^ a g u d i $,default,ወንድም
Fadashi-13_brother-1,,Fadashi,13_brother,agúdí,agúdí,a g ú/u d í/i,,Bremer2016,,,^ a g ú d í $,default,ወንድም
Undulu-13_brother-1,,Undulu,13_brother,agúdíʔ,agúdíʔ,a g ú/u d í/i ʔ,,Bremer2016,,,^ a g ú d í ʔ $,default,ወንድም
BelejeGonfoye-13_brother-1,,BelejeGonfoye,13_brother,agudiʔo,agudiʔo,a g u d i ʔ o,,Bremer2016,,,^ a g u d i ʔ o $,default,ወንድም
Maiyu-14_sell-1,,Maiyu,14_sell,ʃibila alú,ʃibila_alú,ʃ i b i l a + a l ú/u,,Bremer2016,,,^ ʃ i b i l a _ a l ú $,default,ሸጠ
Fadashi-14_sell-1,,Fadashi,14_sell,ɛlenelo,ɛlenelo,ɛ l e n e l o,,Bremer2016,,,^ ɛ l e n e l o $,default,ሸጠ
Undulu-14_sell-1,,Undulu,14_sell,afíːjálu,afíːjálu,a f íː/iː j á/a l u,,Bremer2016,,,^ a f íː j á l u $,default,ሸጠ
BelejeGonfoye-14_sell-1,,BelejeGonfoye,14_sell,ɛlenolo,ɛlenolo,ɛ l e n o l o,,Bremer2016,,,^ ɛ l e n o l o $,default,ሸጠ
Maiyu-15_betired-1,,Maiyu,15_betired,ʃílí,ʃílí,ʃ í/i l í/i,,Bremer2016,,,^ ʃ í l í $,default,ደከመ
Fadashi-15_betired-1,,Fadashi,15_betired,shɪle,shɪle,sh/ʃ ɪ l e,,Bremer2016,,,^ sh ɪ l e $,default,ደከመ
Undulu-15_betired-1,,Undulu,15_betired,aʃílé,aʃílé,a ʃ í/i l é/e,,Bremer2016,,,^ a ʃ í l é $,default,ደከመ
BelejeGonfoye-15_betired-1,,BelejeGonfoye,15_betired,ʃile / asɪle,ʃile,ʃ i l e,,Bremer2016,,,^ ʃ i l e $,default,ደከመ
BelejeGonfoye-15_betired-2,,BelejeGonfoye,15_betired,ʃile / asɪle,asɪle,a s ɪ l e,,Bremer2016,,,^ a s ɪ l e $,default,ደከመ
Maiyu-16_wealth-1,,Maiyu,16_wealth,ʃimbil,ʃimbil,ʃ i m b i l,,Bremer2016,,,^ ʃ i m b i l $,default,ሃብት
Fadashi-16_wealth-1,,Fadashi,16_wealth,ʃɪmbil,ʃɪmbil,ʃ ɪ m b i l,,Bremer2016,,,^ ʃ ɪ m b i l $,default,ሃብት
Undulu-16_wealth-1,,Undulu,16_wealth,nda ʃimbilu,nda_ʃimbilu,n d a + ʃ i m b i l u,,Bremer2016,,,^ n d a _ ʃ i m b i l u $,default,ሃብት
BelejeGonfoye-16_wealth-1,,BelejeGonfoye,16_wealth,dʒidɛne,dʒidɛne,dʒ i d ɛ n e,,Bremer2016,,,^ dʒ i d ɛ n e $,default,ሃብት
Maiyu-17_tooalsoagainfurthermore-1,,Maiyu,17_tooalsoagainfurthermore,ʃíŋ,ʃíŋ,ʃ í/i ŋ,,Bremer2016,,,^ ʃ í ŋ $,default,ደግሞ
Fadashi-17_tooalsoagainfurthermore-1,,Fadashi,17_tooalsoagainfurthermore,le ali / ʃíɲ,le_ali,l e + a l i,,Bremer2016,,,^ l e _ a l i $,default,ደግሞ
Fadashi-17_tooalsoagainfurthermore-2,,Fadashi,17_tooalsoagainfurthermore,le ali / ʃíɲ,ʃíɲ,ʃ í/i ɲ,,Bremer2016,,,^ ʃ í ɲ $,default,ደግሞ
Undulu-17_tooalsoagainfurthermore-1,,Undulu,17_tooalsoagainfurthermore,dókole,dókole,d ó/o k o l e,,Bremer2016,,,^ d ó k o l e $,default,ደግሞ
BelejeGonfoye-17_tooalsoagainfurthermore-1,,BelejeGonfoye,17_tooalsoagainfurthermore,mɪsi / tɛkolalɪ jali,mɪsi,m ɪ s i,,Bremer2016,,,^ m ɪ s i $,default,ደግሞ
BelejeGonfoye-17_tooalsoagainfurthermore-2,,BelejeGonfoye,17_tooalsoagainfurthermore,mɪsi / tɛkolalɪ jali,tɛkolalɪ_jali,t ɛ k o l a l ɪ + j a l i,,Bremer2016,,,^ t ɛ k o l a l ɪ _ j a l i $,default,ደግሞ
Maiyu-18_breakfast-1,,Maiyu,18_breakfast,al fat’úr,al_fat’úr,a l + f a t ʔ ú/u r,,Bremer2016,,,^ a l _ f a t ’ ú r $,default,ቁርስ
Fadashi-18_breakfast-1,,Fadashi,18_breakfast,fɛdari,fɛdari,f ɛ d a r i,,Bremer2016,,,^ f ɛ d a r i $,default,ቁርስ
Undulu-18_breakfast-1,,Undulu,18_breakfast,áːsúːndu,áːsúːndu,áː/aː s úː/uː n d u,,Bremer2016,,,^ áː s úː n d u $,default,ቁርስ
BelejeGonfoye-18_breakfast-1,,BelejeGonfoye,18_breakfast,awotʃo ndu,awotʃo_ndu,a w o tʃ o + n d u,,Bremer2016,,,^ a w o tʃ o _ n d u $,default,ቁርስ
Maiyu-19_elephant-1,,Maiyu,19_elephant,"al fîl, ɔŋ",al_fîl,a l + f î/i l,,Bremer2016,,,^ a l _ f î l $,default,ዝሆን
Maiyu-19_elephant-2,,Maiyu,19_elephant,"al fîl, ɔŋ",ɔŋ,ɔ ŋ,,Bremer2016,,,^ ɔ ŋ $,default,ዝሆን
Fadashi-19_elephant-1,,Fadashi,19_elephant,mɛdege,mɛdege,m ɛ d e g e,,Bremer2016,,,^ m ɛ d e g e $,default,ዝሆን
Undulu-19_elephant-1,,Undulu,19_elephant,alfîl,alfîl,a l f î/i l,,Bremer2016,,,^ a l f î l $,default,ዝሆን
BelejeGonfoye-19_elephant-1,,BelejeGonfoye,19_elephant,metɪkeː,metɪkeː,m e t ɪ k eː,,Bremer2016,,,^ m e t ɪ k eː $,default,ዝሆን
Maiyu-20_thursday-1,,Maiyu,20_thursday,al hamís,al_hamís,a l + h a m í/i s,,Bremer2016,,,^ a l _ h a m í s $,default,ሐሙሰ
Fadashi-20_thursday-1,,Fadashi,20_thursday,alhamís,alhamís,a l h a m í/i s,,Bremer2016,,,^ a lh a m í s $,default,ሐሙሰ
Undulu-20_thursday-1,,Undulu,20_thursday,alhamís,alhamís,a l h a m í/i s,,Bremer2016,,,^ a lh a m í s $,default,ሐሙሰ
BelejeGonfoye-20_thursday-1,,BelejeGonfoye,20_thursday,laːri kəmɪso,laːri_kəmɪso,l aː r i + k ə m ɪ s o,,Bremer2016,,,^ l aː r i _ k ə m ɪ s o $,default,ሐሙሰ
Maiyu-21_bespoiledrotten-1,,Maiyu,21_bespoiledrotten,s’ʊwí,s’ʊwí,s ʔ ʊ w í/i,,Bremer2016,,,^ s ’ ʊ w í $,default,በሰበሰ
Fadashi-21_bespoiledrotten-1,,Fadashi,21_bespoiledrotten,suːwaʔi,suːwaʔi,s uː w a ʔ i,,Bremer2016,,,^ s uː w a ʔ i $,default,በሰበሰ
Undulu-21_bespoiledrotten-1,,Undulu,21_bespoiledrotten,rohé,rohé,r o h é/e,,Bremer2016,,,^ r o h é $,default,በሰበሰ
BelejeGonfoye-21_bespoiledrotten-1,,BelejeGonfoye,21_bespoiledrotten,t͡ʃ’uwé,t͡ʃ’uwé,tʃ ʔ u w é/e,,Bremer2016,,,^ t͡ʃ ’ u w é $,default,በሰበሰ
Maiyu-22_whirlwinddirtdevil-1,,Maiyu,22_whirlwinddirtdevil,ʃɛbaro,ʃɛbaro,ʃ ɛ b a r o,,Bremer2016,,,^ ʃ ɛ b a r o $,default,አዉለንፋስ
Fadashi-22_whirlwinddirtdevil-1,,Fadashi,22_whirlwinddirtdevil,ʃɛboro,ʃɛboro,ʃ ɛ b o r o,,Bremer2016,,,^ ʃ ɛ b o r o $,default,አዉለንፋስ
Undulu-22_whirlwinddirtdevil-1,,Undulu,22_whirlwinddirtdevil,adurdur,adurdur,a d u r d u r,,Bremer2016,,,^ a d u r d u r $,default,አዉለንፋስ
BelejeGonfoye-22_whirlwinddirtdevil-1,,BelejeGonfoye,22_whirlwinddirtdevil,awːulé,awːulé,a wː u l é/e,,Bremer2016,,,^ a wː u l é $,default,አዉለንፋስ
Maiyu-23_prayerandworship-1,,Maiyu,23_prayerandworship,"al ʔibáda, aːsɛla",al_ʔibáda,a l + ʔ i b á/a d a,,Bremer2016,,,^ a l _ ʔ i b á d a $,default,ጸሎትና አምልኮ
Maiyu-23_prayerandworship-2,,Maiyu,23_prayerandworship,"al ʔibáda, aːsɛla",aːsɛla,aː s ɛ l a,,Bremer2016,,,^ aː s ɛ l a $,default,ጸሎትና አምልኮ
Fadashi-23_prayerandworship-1,,Fadashi,23_prayerandworship,aːsɛla,aːsɛla,aː s ɛ l a,,Bremer2016,,,^ aː s ɛ l a $,default,ጸሎትና አምልኮ
Undulu-23_prayerandworship-1,,Undulu,23_prayerandworship,aːsɛlaʔ,aːsɛlaʔ,aː s ɛ l a ʔ,,Bremer2016,,,^ aː s ɛ l a ʔ $,default,ጸሎትና አምልኮ
BelejeGonfoye-23_prayerandworship-1,,BelejeGonfoye,23_prayerandworship,wɛgɛra,wɛgɛra,w ɛ g ɛ r a,,Bremer2016,,,^ w ɛ g ɛ r a $,default,ጸሎትና አምልኮ
Maiyu-24_paper-1,,Maiyu,24_paper,al wárga,al_wárga,a l + w á/a r g a,,Bremer2016,,,^ a l _ w á r g a $,default,ወረቀት
Fadashi-24_paper-1,,Fadashi,24_paper,alwarəga,alwarəga,a l w a r ə g a,,Bremer2016,,,^ a lw a r ə g a $,default,ወረቀት
Undulu-24_paper-1,,Undulu,24_paper,alfaraga,alfaraga,a l f a r a g a,,Bremer2016,,,^ a l f a r a g a $,default,ወረቀት
BelejeGonfoye-24_paper-1,,BelejeGonfoye,24_paper,dodo be,dodo_be,d o d o + b e,,Bremer2016,,,^ d o d o _ b e $,default,ወረቀት
Maiyu-25_mother-1,,Maiyu,25_mother,amːá,amːá,a mː á/a,,Bremer2016,,,^ a mː á $,default,የእኔ እናት
Fadashi-25_mother-1,,Fadashi,25_mother,amːá,amːá,a mː á/a,,Bremer2016,,,^ a mː á $,default,የእኔ እናት
Undulu-25_mother-1,,Undulu,25_mother,áːʔó,áːʔó,áː/aː ʔ ó/o,,Bremer2016,,,^ áː ʔ ó $,default,የእኔ እናት
BelejeGonfoye-25_mother-1,,BelejeGonfoye,25_mother,dadi,dadi,d a d i,,Bremer2016,,,^ d a d i $,default,የእኔ እናት
Maiyu-26_send-1,,Maiyu,26_send,agɛna,agɛna,a g ɛ n a,,Bremer2016,,,^ a g ɛ n a $,default,ላክ
Fadashi-26_send-1,,Fadashi,26_send,̄nɛbenːa,̄nɛbenːa,n ɛ b e nː a,,Bremer2016,,,^ ̄n ɛ b e nː a $,default,ላክ
Undulu-26_send-1,,Undulu,26_send,hɛ́ːbena,hɛ́ːbena,h ɛ́ː/ɛ b e n a,,Bremer2016,,,^ h ɛ́ː b e n a $,default,ላክ
BelejeGonfoye-26_send-1,,BelejeGonfoye,26_send,jebɛne,jebɛne,j e b ɛ n e,,Bremer2016,,,^ j e b ɛ n e $,default,ላክ
Maiyu-27_imprisontieup-1,,Maiyu,27_imprisontieup,"sɛ́gɛna, ɗɔːʃa",sɛ́gɛna,s ɛ́/ɛ g ɛ n a,,Bremer2016,,,^ s ɛ́ g ɛ n a $,default,ቀጣ
Maiyu-27_imprisontieup-2,,Maiyu,27_imprisontieup,"sɛ́gɛna, ɗɔːʃa",ɗɔːʃa,ɗ ɔː ʃ a,,Bremer2016,,,^ ɗ ɔː ʃ a $,default,ቀጣ
Fadashi-27_imprisontieup-1,,Fadashi,27_imprisontieup,ɗoːʃa,ɗoːʃa,ɗ oː ʃ a,,Bremer2016,,,^ ɗ oː ʃ a $,default,ቀጣ
Undulu-27_imprisontieup-1,,Undulu,27_imprisontieup,ɗóːʃɛfa,ɗóːʃɛfa,ɗ óː/oː ʃ ɛ f a,,Bremer2016,,,^ ɗ óːʃ ɛ f a $,default,ቀጣ
BelejeGonfoye-27_imprisontieup-1,,BelejeGonfoye,27_imprisontieup,ɗosɛne,ɗosɛne,ɗ o s ɛ n e,,Bremer2016,,,^ ɗ o s ɛ n e $,default,ቀጣ
Maiyu-28_tasty-1,,Maiyu,28_tasty,s’ɛbí,s’ɛbí,s ʔ ɛ b í/i,,Bremer2016,,,^ s ’ ɛ b í $,default,ጣፍጧል
Fadashi-28_tasty-1,,Fadashi,28_tasty,s’oːbí,s’oːbí,s ʔ oː b í/i,,Bremer2016,,,^ s ’ oː b í $,default,ጣፍጧል
Undulu-28_tasty-1,,Undulu,28_tasty,nɛgɛnɛge,nɛgɛnɛge,n ɛ g ɛ n ɛ g e,,Bremer2016,,,^ n ɛ g ɛ n ɛ g e $,default,ጣፍጧል
BelejeGonfoye-28_tasty-1,,BelejeGonfoye,28_tasty,tʃ’oɓɛneʲa,tʃ’oɓɛneʲa,tʃ ʔ o ɓ ɛ n eʲ/ei̯ a,,Bremer2016,,,^ tʃ ’ o ɓ ɛ n eʲ a $,default,ጣፍጧል
Maiyu-29_darken-1,,Maiyu,29_darken,ámilu aŋ,ámilu_aŋ,á/a m i l u + a ŋ,,Bremer2016,,,^ á m i l u _ a ŋ $,default,አጨለመ
Fadashi-29_darken-1,,Fadashi,29_darken,aːmíle,aːmíle,aː m í/i l e,,Bremer2016,,,^ aː m í l e $,default,አጨለመ
Undulu-29_darken-1,,Undulu,29_darken,amːbúwé,amːbúwé,a mː b ú/u w é/e,,Bremer2016,,,^ a mː b ú w é $,default,አጨለመ
BelejeGonfoye-29_darken-1,,BelejeGonfoye,29_darken,aŋʲa milowe,aŋʲa_milowe,a ŋʲ a + m i l o w e,,Bremer2016,,,^ a ŋʲ a _ m i l o w e $,default,አጨለመ
Maiyu-30_dryseason-1,,Maiyu,30_dryseason,amɔːzó,amɔːzó,a m ɔː z ó/o,,Bremer2016,,,^ a m ɔː z ó $,default,በጋ
Fadashi-30_dryseason-1,,Fadashi,30_dryseason,aːmoːsó,aːmoːsó,aː m oː s ó/o,,Bremer2016,,,^ aː m oː s ó $,default,በጋ
Undulu-30_dryseason-1,,Undulu,30_dryseason,aiyedʒɛlu,aiyedʒɛlu,a i y e dʒ ɛ l u,,Bremer2016,,,^ a i y e dʒ ɛ l u $,default,በጋ
BelejeGonfoye-30_dryseason-1,,BelejeGonfoye,30_dryseason,la mundʒoʷ,la_mundʒoʷ,l a + m u n dʒ oʷ/ou̯,,Bremer2016,,,^ l a _ m u n dʒ oʷ $,default,በጋ
Maiyu-31_sisterinlaw-1,,Maiyu,31_sisterinlaw,amʊ́dudú,amʊ́dudú,a m ʊ́/ʊ d u d ú/u,,Bremer2016,,,^ a m ʊ́ d u d ú $,default,የሚስት እህት (ምራት)
Fadashi-31_sisterinlaw-1,,Fadashi,31_sisterinlaw,máːʃí,máːʃí,m áː/aː ʃ í/i,,Bremer2016,,,^ m áː ʃ í $,default,የሚስት እህት (ምራት)
Undulu-31_sisterinlaw-1,,Undulu,31_sisterinlaw,máːʃí,máːʃí,m áː/aː ʃ í/i,,Bremer2016,,,^ m áː ʃ í $,default,የሚስት እህት (ምራት)
